222,C N'Zogbia,AV,4,0,4,0,0,0,0,0,0,0,0
223,Y Sylla,AV,4,0,3.6,0,0,0,0,0,1,0,0
224,A Tonev,AV,4,0,3.7,0,0,0,0,0,1,0,0
225,A Westwood,AV,4,2,3.7,2,0,0,1,0,4,0,0
226,C Bellamy,CAR,4,0,3.7,0,0,0,0,0,4,0,0
227,K Bo-Kyung,CAR,4,0,3.5,0,0,0,0,0,6,0,0
228,D Cowie,CAR,4,4,3.4,2,0,0,2,0,1,0,0
229,A Gunnarsson,CAR,4,3,3.6,0,0,0,0,1,6,0,0
230,K Harris,CAR,4,0,3.2,0,0,0,0,0,0,0,0
231,F Kiss,CAR,4,0,3.3,0,0,0,0,0,0,0,0
232,G Medel,CAR,4,0,3.5,0,0,0,0,0,6,0,0
233,J Mutch,CAR,4,3,3.4,3,0,0,0,1,0,0,0
234,C Noone,CAR,4,0,3.7,0,0,0,0,0,0,0,0
235,T Smith,CAR,4,0,3.5,0,0,0,0,0,0,0,0
236,P Whittingham,CAR,4,7,3.7,5,0,0,2,1,6,0,0
237,K De Bruyne,CHE,4,2,4,0,0,0,1,0,2,0,0
238,M Essien,CHE,4,0,3.6,0,0,0,0,0,0,0,0
239,E Hazard,CHE,4,2,5.5,0,0,0,1,0,6,0,0
240,F Lampard,CHE,4,5,5.3,0,0,0,1,1,4,0,0
241,J Mata,CHE,4,2,5.6,2,0,0,1,0,3,0,0
242,J Mikel,CHE,4,3,3.5,3,0,0,0,1,3,0,0
243,Oscar,CHE,4,6,4.8,3,0,0,0,2,5,0,0
244,Ramires,CHE,4,0,4.1,0,0,0,0,0,6,0,0
245,A Schurrle,CHE,4,0,4.3,0,0,0,0,0,3,0,0
246,M van Ginkel,CHE,4,0,3.8,0,0,0,0,0,0,0,0
247,Willian,CHE,4,0,4.3,0,0,0,0,0,0,0,0
248,B Bannan,CP,4,0,3.7,0,0,0,0,0,2,0,0
249,Y Bolasie,CP,4,0,3.6,0,0,0,0,0,0,0,0
250,J Campana,CP,4,0,3.5,0,0,0,0,0,4,0,0
251,K De Silva,CP,4,0,3.2,0,0,0,0,0,0,0,0
252,K Dikgacoi,CP,4,0,3.4,0,0,0,0,0,4,0,0
253,O Garvan,CP,4,0,3.6,0,0,0,0,0,1,0,0
254,E Grandin,CP,4,0,3.5,0,0,0,0,0,0,0,0
255,M Jedinak,CP,4,0,3.4,0,0,0,0,0,6,0,0
256,J Kebe,CP,4,0,3.6,0,0,0,0,0,1,0,0
257,S O'Keefe,CP,4,3,3.2,0,0,0,0,1,0,0,0
258,J Puncheon,CP,4,0,3.8,0,0,0,0,0,4,0,0
259,J Thomas,CP,4,0,3.6,0,0,0,0,0,0,0,0
260,J Williams,CP,4,0,3.4,0,0,0,0,0,0,0,0
261,R Barkley,EVE,4,6,3.7,3,0,0,0,2,6,0,0
262,G Barry,EVE,4,0,3.7,0,0,0,0,0,3,0,0
263,G Deulofeu,EVE,4,0,3.9,0,0,0,0,0,0,0,0
264,D Gibson,EVE,4,0,3.8,0,0,0,0,0,0,0,0
265,M Gueye,EVE,4,0,3.7,0,0,0,0,0,0,0,0
266,J McCarthy,EVE,4,0,3.7,0,0,0,0,0,2,0,0
267,K Mirallas,EVE,4,4,4.4,4,0,0,2,0,6,0,0
268,S Naismith,EVE,4,3,3.9,3,0,0,0,1,2,0,0
269,L Osman,EVE,4,0,4,0,0,0,0,0,6,0,0
270,S Pienaar,EVE,4,0,4.3,0,0,0,0,0,3,0,0
271,D Boateng,FUL,4,0,3.6,0,0,0,0,0,1,0,0
272,A Dejagah,FUL,4,0,3.8,0,0,0,0,0,0,0,0
273,D Duff,FUL,4,2,4,0,0,0,1,0,3,0,0
274,A Kacaniklic,FUL,4,0,3.8,0,0,0,0,0,3,0,0
275,P Kasami,FUL,4,3,3.6,0,0,0,0,1,5,0,0
276,S Parker,FUL,4,0,3.6,0,0,0,0,0,4,0,0
277,K Richardson,FUL,4,0,3.6,0,0,0,0,0,3,0,0
278,S Sidwell,FUL,4,3,3.8,3,0,0,0,1,6,0,0
279,A Taarabt,FUL,4,0,4,0,0,0,0,0,2,0,0
280,S Aluko,HUL,4,5,3.6,5,0,0,1,1,6,0,0
